id,name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popular,,,,,,,,
00lNx0OcTJrS3MKHcB80HY ,You Don't Know Me - Radio Edit,Jax Jones,79,0.876,0.669,11,-6.054,0,0.138,0.163,0,0.185,0.682,124.007,213947,4,1,,,,,,,,
6HUnnBwYZqcED1eQztxMBN ,Solo Dance,Martin Jensen,79,0.744,0.836,6,-2.396,0,0.0507,0.0435,0,0.194,0.36,114.965,174933,4,1,,,,,,,,
6EpRaXYhGOB3fj4V2uDkMJ ,Strip That Down,Liam Payne,83,0.869,0.485,6,-5.595,1,0.0545,0.246,0,0.0765,0.527,106.028,204502,4,1,,,,,,,,
1x5sYLZiu9r5E43kMlt9f8 ,Symphony (feat. Zara Larsson),Clean Bandit,87,0.707,0.629,0,-4.581,0,0.0563,0.259,1.60E-05,0.138,0.457,122.863,212459,4,1,,,,,,,,
3QvwFrhH9MTpeskhOaNDl4,Stargirl Interlude,The Weeknd;Lana Del Rey,63,0.634,0.475,5,-12.663,0,0.121,0.357,0.087,0.0987,0.443,89.916,111640,4,0,,,,,,,,
1mXVgsBdtIVeCLJnSnmtdV ,Too Good At Goodbyes,Sam Smith,88,0.698,0.375,5,-8.279,1,0.0491,0.652,0,0.173,0.534,91.92,201000,4,1,,,,,,,,
6ObpR8ek44tvWefQRcSo8K,Calling All My Lovelies,Bruno Mars,71,0.662,0.705,1,-6.56,0,0.0399,0.0392,2.38E-06,0.105,0.865,159.996,250080,4,0,,,,,,,,
6mICuAdrwEjh6Y6lroV2Kg ,Chantaje,Shakira,82,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05E-05,0.159,0.907,102.034,195840,4,1,,,,,,,,
3B54sVLJ402zGa6Xm4YGNe ,Unforgettable,French Montana,89,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,4,1,,,,,,,,
57u7pdir79V9NjkZKvqtmZ,Sería Fácil,Luis Fonsi,19,0.448,0.193,0,-12.574,1,0.0414,0.925,0.00E+00,0.107,0.119,80.63,229960,5,0,,,,,,,,
0tgVpDi06FyKpA1z0VMD4v ,Perfect,Ed Sheeran,94,0.599,0.448,8,-3.374,1,0.0232,0.163,0,0.106,0.168,99.943,263400,3,1,,,,,,,,
5troof8mcGO3AafoDbk1gc ,Look What You Made Me Do,Taylor Swift,81,0.773,0.68,9,-6.378,0,0.141,0.213,1.57E-05,0.122,0.497,128.062,211859,4,1,,,,,,,,
0CokSRCu5hZgPxcZBaEzVE ,Glorious (feat. Skylar Grey),Macklemore,85,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59E-05,0.112,0.356,139.994,220454,4,1,,,,,,,,
4IlBZXHTwY7DoxA4piiHtM,Zara (feat. Abir),Macklemore;Abir,58,0.773,0.413,6,-9.324,0,0.0673,0.0345,0,0.09,0.215,115.869,217280,4,0,,,,,,,,
3tjl6YMFoAk6927XjAM0Er,Cold,Post Malone,63,0.654,0.564,4,-7.763,0,0.0403,0.609,6.37E-06,0.103,0.267,132.983,268933,4,0,,,,,,,,
5qpSSEUcG4199ZktDjbxV6,I Don't Care,Ariana Grande,57,0.581,0.408,5,-8.225,1,0.0479,0.737,3.54E-06,0.163,0.225,111.83,178027,4,0,,,,,,,,
6KdmNK9MogmGcnO3wNZHhp,Hard to Love,Calvin Harris;Jessie Reyez,64,0.753,0.785,2,-6.53,1,0.174,0.112,0.000191,0.0633,0.85,148.015,230587,4,0,,,,,,,,
4dzugTzOB8deiIwTiNKhZ7,Call On Me - EDWYNN x TIKAL x Spirix Remix,Starley;Spirix;Edwynn;Tikal,12,0.646,0.714,0,-6.511,1,0.0378,0.0541,0,0.134,0.583,97.957,160408,4,0,,,,,,,,
6De0lHrwBfPfrhorm9q1Xl ,Me RehÃºso,Danny Ocean,89,0.744,0.804,1,-6.327,1,0.0677,0.0231,0,0.0494,0.426,104.823,205715,4,1,,,,,,,,
