id,name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popular,,,,,,,,
2VGVSJGXHzKsu5btkdFbpK,Catching Feelings,Justin Bieber,46,0.385,0.553,10,-6.716,1,0.0457,0.356,0,0.444,0.345,86.676,234680,4,0,,,,,,,,
0qYTZCo5Bwh1nsUFGZP3zn ,Felices los 4,Maluma,85,0.755,0.789,5,-4.502,1,0.146,0.231,0,0.351,0.737,93.973,229849,4,1,,,,,,,,
08Wc3X7XNSyF8WYBPt2L8E,Holiday,Calvin Harris;Snoop Dogg;John Legend;Takeoff,62,0.836,0.769,6,-2.334,0,0.0773,0.472,0.00157,0.0804,0.585,103.991,169693,4,0,,,,,,,,
1zKuqri2rJxxr400ufB6vE,Understand,Shawn Mendes,62,0.689,0.606,0,-6.305,1,0.327,0.356,0,0.0997,0.0974,79.029,300973,4,0,,,,,,,,
3DBMmyOLQ8VIEd5fBnTSfK,Mouth Of The River,Imagine Dragons,68,0.487,0.905,8,-6.951,1,0.0423,0.00217,0.0936,0.151,0.293,96.012,221560,4,0,,,,,,,,
39IsH7B5byx8NRlEKlZVg9 ,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,81,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,193613,4,1,,,,,,,,
1xznGGDReH1oQq0xzbwXa3 ,One Dance,Drake,84,0.791,0.619,1,-9.433,1,0.0532,0.00784,0.00423,0.351,0.371,133.987,173987,4,1,,,,,,,,
0Qr56LFuNj4Ncf6RLOv3Od,LIKE I WOULD - Sharam Jey Remix,ZAYN,38,0.617,0.916,10,-4.026,0,0.049,0.00136,0.218,0.0395,0.362,117.999,281046,4,0,,,,,,,,
3AEZUABDXNtecAOSC1qTfo ,ReggaetÃ³n Lento (Bailemos),CNCO,80,0.761,0.838,4,-3.073,0,0.0502,0.4,0,0.176,0.71,93.974,222560,4,1,,,,,,,,
2rb5MvYT7ZIxbKW5hfcHx8,Mi Gente,J Balvin,82,0.543,0.677,11,-4.915,0,0.0993,0.0148,6.21E-06,0.13,0.294,103.809,189440,4,1,,,,,,,,
3SP0MlWYfu7xt1ZfMqBxh9,FEAR.,Kendrick Lamar,64,0.586,0.474,10,-7.063,0,0.274,0.616,1.04E-05,0.613,0.455,149.967,460573,4,0,,,,,,,,
0x5QNHf6hEB4ZARhidUezQ,Love Like That (feat. K. Michelle),Jason Derulo;K. Michelle,16,0.448,0.537,0,-5.581,0,0.056,0.00647,7.05E-05,0.626,0.115,173.334,239760,4,0,,,,,,,,
4cGeMgLcykDLAazHFpbZbU ,DNA.,Kendrick Lamar,78,0.637,0.514,1,-6.842,1,0.365,0.0047,0,0.094,0.402,150.02,185947,4,1,,,,,,,,
6cPyTS0Kk2sc4xQwC93kOg,Break Up Every Night,The Chainsmokers,70,0.624,0.806,1,-5.957,1,0.0437,0.00411,0,0.0872,0.528,149.999,207520,4,0,,,,,,,,
0Nhu3zSYbEz32IYiobV75e ,Now Or Never,Halsey,74,0.658,0.588,6,-4.902,0,0.0367,0.105,1.28E-06,0.125,0.434,110.075,214802,4,1,,,,,,,,
