id,name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popular,,,,,,,,
7jHjBBlh1bvBsiAPdCliaS,Prende en Fuego,"Zion, Lennox",38,0.781,0.852,0,-5.17,0,0.0622,0.0271,0.000125,0.152,0.598,157.017,217493,4,0,,,,,,,,
4iLqG9SeJSnt0cSPICSjxv ,Attention,Charlie Puth,89,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12E-05,0.0848,0.777,100.041,211475,4,1,,,,,,,,
0Rc7wo1xBC3Y2OnOzzG5jY,Más Allá,CNCO,55,0.614,0.912,6,-3.204,0,0.0336,0.0133,0,0.374,0.787,129.993,220707,4,0,,,,,,,,
54i1CQFlT3LeGdIVctDQp1,Money Convo,21 Savage,62,0.821,0.276,1,-10.556,1,0.123,0.0392,0.0233,0.11,0.0569,144.896,213427,4,0,,,,,,,,
152lZdxL1OR0ZMW6KquMif ,Location,Khalid,87,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,219080,4,1,,,,,,,,
7llPsildzxzgt6odtSaScQ,Love Someone,Miley Cyrus,56,0.678,0.845,8,-3.636,0,0.0329,0.00496,1.29E-05,0.0572,0.826,99.078,199493,4,0,,,,,,,,
1pJQAHpD51J7GYaFrrFO9S,Don't Say,The Chainsmokers;Emily Warren,67,0.567,0.464,5,-9.66,1,0.0302,0.0199,9.31E-06,0.269,0.309,99.806,228480,4,0,,,,,,,,
3R07j3eglCJ0CJRsAzP9xd,Victory,Wisin,47,0.536,0.839,0,-5.039,1,0.122,0.123,0,0.131,0.313,148.265,86413,4,0,,,,,,,,
23L5CiUhw2jV1OIMwthR3S ,In the Name of Love,Martin Garrix,83,0.49,0.485,4,-7.786,0,0.0406,0.0592,0,0.337,0.196,137.972,195840,4,1,,,,,,,,
3wSmGCsH0ue83exhgmbmPi,Good Mourning,Halsey,52,0.619,0.54,10,-9.994,0,0.0595,0.697,1.04E-02,0.404,0.725,100.011,67580,4,0,,,,,,,,
3XIw6mkQ2ZsHh0npLoYizp,Suffering From Success,DJ Khaled; Ace Hood;Future,23,0.663,0.709,1,-4.835,1,0.0571,0.00588,1.78E-06,0.157,0.355,133.948,210400,4,0,,,,,,,,
6GeD5g9vZTz25Egf8kxoIY,Last Day Alive,The Chainsmokers;Florida Georgia Line,65,0.435,0.706,0,-8.197,1,0.0425,0.0571,4.15E-05,0.0903,0.24,144.913,214307,4,0,,,,,,,,
4aWmUDTfIPGksMNLV2rQP2 ,Despacito (Featuring Daddy Yankee),Luis Fonsi,82,0.66,0.786,2,-4.757,1,0.17,0.209,0,0.112,0.846,177.833,228200,4,1,,,,,,,,
6PCUP3dWmTjcTtXY02oFdT ,Castle on the Hill,Ed Sheeran,83,0.461,0.834,2,-3.183,1,0.0989,0.0232,1.14E-05,0.14,0.471,95.977,261154,4,1,,,,,,,,
5Lbsc65org0b85kNsPkluY,Only Angel,Harry Styles,70,0.554,0.842,5,-4.113,1,0.0397,0.287,0,0.106,0.348,114.036,291080,4,0,,,,,,,,
71bBFbfn2OBK5QwUJSLS44 ,More Than You Know,Axwell /\ Ingrosso,86,0.644,0.743,5,-5.002,0,0.0355,0.034,0,0.257,0.544,123.074,203000,4,1,,,,,,,,
3NdDpSvN911VPGivFlV5d0 ,"I Donâ€™t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,82,0.735,0.451,0,-6.593,1,0.0585,0.0631,1.30E-05,0.325,0.0862,180.043,245200,4,1,,,,,,,,
3JTtZUOiZljuWbNiasfHB6,Hopeless,Khalid,72,0.785,0.702,7,-4.517,1,0.0464,0.643,0,0.175,0.569,116.021,167640,4,0,,,,,,,,
1rfofaqEpACxVEHIZBJe6W ,Havana,Camila Cabello,96,0.768,0.517,7,-4.323,0,0.0312,0.186,3.80E-05,0.104,0.418,104.992,216897,4,1,,,,,,,,
1Qo5xjflE8O4qz38ju3oSm,Vuelo Hacia el Olvido,Maluma,54,0.396,0.351,11,-10.688,1,0.0494,0.888,1.15E-05,0.313,0.475,81.661,210893,4,0,,,,,,,,
5m4OvvkjW8rp1zot66TodB,Maps - Live In Manchester,Maroon 5,51,0.694,0.803,8,-5.515,1,0.0396,0.13,4.40E-06,0.405,0.479,119.983,262533,4,0,,,,,,,,
0VgkVdmE4gld66l8iyGjgx ,Mask Off,Future,86,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,4,1,,,,,,,,
6e6Q8NQHv2xBhl5zU9DZFn,That's My Way - Alok Remix,Alok;Seu Jorge;Edi Rock,62,0.796,0.877,10,-5.856,0,0.0714,0.174,0.000405,0.106,0.812,121.996,295082,4,0,,,,,,,,
3A7qX2QjDlPnazUsRk5y0M ,2U (feat. Justin Bieber),David Guetta,81,0.548,0.65,8,-5.827,0,0.0591,0.219,0,0.225,0.557,144.937,194897,4,1,,,,,,,,
38yBBH2jacvDxrznF7h08J ,Slow Hands,Niall Horan,75,0.734,0.418,0,-6.678,1,0.0425,0.0129,0,0.0579,0.868,85.909,188174,4,1,,,,,,,,
0sVgOxAOOAj0K8PdFEGhrR,Never Be the Same - Radio Edit,Camila Cabello,70,0.627,0.693,0,-4.382,1,0.0856,0.158,0.000102,0.115,0.245,129.801,227240,4,0,,,,,,,,
0KKkJNfGyhkQ5aFogxQAPU ,That's What I Like,Bruno Mars,87,0.853,0.56,1,-4.282,1,0.0406,0.013,0,0.0944,0.86,106.97,206693,4,1,,,,,,,,
72ez6rKQgEB4asThITDH4I,Powerful,Major Lazer;Ellie Goulding;Tarrus Riley,1,0.598,0.792,11,-4.043,0,0.0478,0.121,0,0.158,0.732,97.479,206327,3,0,,,,,,,,
7oolFzHipTMg2nL7shhdz2,Eraser,Ed Sheeran,76,0.64,0.812,8,-5.647,0,0.0834,0.086,0,0.0509,0.914,86.013,227427,4,0,,,,,,,,
3y0Yoymz0y3tO7Jl0HuvkG,Dark River - Bonus Track,Axwell /\ Ingrosso; Sebastian Ingrosso,43,0.793,0.685,11,-5.927,0,0.0305,0.0252,0.00038,0.183,0.676,126.038,192400,4,0,,,,,,,,
5BoOzegGrg5XFRR8UBDtkF,Broken Whiskey Glass,Post Malone,70,0.514,0.673,2,-7.291,0,0.0504,0.316,1.62E-06,0.13,0.118,99.934,233813,4,0,,,,,,,,
7nKBxz47S9SD79N086fuhn ,SUBEME LA RADIO,Enrique Iglesias,80,0.684,0.823,9,-3.297,0,0.0773,0.0744,0,0.111,0.647,91.048,208163,4,1,,,,,,,,
5aFQU3VPCQ3YGfKBA4tLfj ,1-800-273-8255,Logic,83,0.629,0.572,5,-7.733,0,0.0387,0.57,0,0.192,0.386,100.015,250173,4,1,,,,,,,,
2zDt2TfQbxiSPjTVJTgbwz ,Starving,Hailee Steinfeld,79,0.721,0.626,4,-4.2,1,0.123,0.402,0,0.102,0.558,99.914,181933,4,1,,,,,,,,
5csyFWmmFlqKXh3ehjom3H,Faithful,Drake;Pimp C;dvsn,57,0.536,0.446,1,-10.489,1,0.162,0.104,1.01E-05,0.323,0.157,99.979,290133,4,0,,,,,,,,
4Km5HrUvYTaSUfiSGPJeQR ,Bad and Boujee (feat. Lil Uzi Vert),Migos,81,0.927,0.665,11,-5.313,1,0.244,0.061,0,0.123,0.175,127.076,343150,4,1,,,,,,,,
7nZmah2llfvLDiUjm0kiyz ,Friends (with BloodPopÂ®),Justin Bieber,83,0.744,0.739,8,-5.35,1,0.0387,0.00459,0,0.306,0.649,104.99,189467,4,1,,,,,,,,
4b4KcovePX8Ke2cLIQTLM0 ,All Night,The Vamps,76,0.544,0.809,8,-5.098,1,0.0363,0.0038,0,0.323,0.448,145.017,197640,4,1,,,,,,,,
6KYVdZ8ZGi0StyfyJ0Sinr,As You Are (feat. Shy Carter),Charlie Puth;Shy Carter,44,0.819,0.523,2,-6.202,1,0.0449,0.361,0,0.0716,0.699,113.952,235920,4,0,,,,,,,,
0dj1CtyRxZ4bnIT4Q20jNT,Wake Up Alone,The Chainsmokers;Jhene Aiko,66,0.643,0.52,9,-5.968,0,0.0334,0.0102,0,0.11,0.23,75.168,215720,4,0,,,,,,,,
