#,id,name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,,,,,kaggle_id
1,2fQrGHiQOvpL9UgPvtYy6G ,Bank Account,21 Savage,89,0.884,0.346,8,-8.228,0,0.351,0.0151,7.04E-06,0.0871,0.376,75.016,220307,4,,,,,2fQrGHiQOvpL9UgPvtYy6
2,3BuLtAmXKy5uQYl4ED1zBT ,Weak,AJR,75,0.673,0.637,5,-4.518,1,0.0429,0.137,0,0.184,0.678,123.98,201160,4,,,,,3E2Zh20GDCR9B1EYjfXWy
3,077IVIW6uv1lL78x7a3Oc3 ,"How Far I'll Go - From ""Vaiana""",Alessia Cara,70,0.314,0.555,9,-9.601,1,0.37,0.157,0.000108,0.067,0.159,179.666,175517,4,,,,,5hYTyyh2odQKphUbMqc5g
4,39cmB3ZoTOLwOTq7tMNqKa ,Hear Me Now,Alok,77,0.789,0.442,11,-7.844,1,0.0421,0.586,0.00366,0.0927,0.45,121.971,192846,4,,,,,1a5Yu5L18qNxVhXx38njO
5,4pLwZjInHj3SimIyN9SnOz ,Side To Side,Ariana Grande,80,0.648,0.738,6,-5.883,0,0.247,0.0408,0,0.292,0.603,159.145,226160,4,,,,,4pLwZjInHj3SimIyN9SnO
6,71bBFbfn2OBK5QwUJSLS44 ,More Than You Know,Axwell /\ Ingrosso,86,0.644,0.743,5,-5.002,0,0.0355,0.034,0,0.257,0.544,123.074,203000,4,,,,,3PEgB3fkiojxms35ntsTg
7,0PyWKgNmGiYTFe6MXN5U4K ,Bounce Back,Big Sean,74,0.77,0.567,2,-5.698,1,0.175,0.105,0,0.125,0.26,81.477,222360,4,,,,,0SGkqnVQo9KPytSri1H6c
8,6b8Be6ljOzmkOmFslEb23P ,24K Magic,Bruno Mars,83,0.818,0.803,1,-4.961,1,0.0797,0.034,0,0.153,0.632,134.066,225983,4,,,,,6b8Be6ljOzmkOmFslEb23
9,0KKkJNfGyhkQ5aFogxQAPU ,That's What I Like,Bruno Mars,87,0.853,0.56,1,-4.282,1,0.0406,0.013,0,0.0944,0.86,106.97,206693,4,,,,,0KKkJNfGyhkQ5aFogxQAP
10,5bcTCxgc7xVfSaMV3RuVke ,Feels,Calvin Harris,83,0.893,0.745,11,-3.299,0,0.0571,0.0642,0,0.0943,0.872,104.066,223413,4,,,,,5bcTCxgc7xVfSaMV3RuVk
11,7tr2za8SQg2CI8EDgrdtNl ,Slide,Calvin Harris,74,0.736,0.795,1,-3.105,0,0.0545,0.498,1.21E-06,0.254,0.511,101.018,230813,4,,,,,7tr2za8SQg2CI8EDgrdtN
12,1rfofaqEpACxVEHIZBJe6W ,Havana,Camila Cabello,96,0.768,0.517,7,-4.323,0,0.0312,0.186,3.80E-05,0.104,0.418,104.992,216897,4,,,,,0ofbQMrRDsUaVKq2mGLEA
13,4iLqG9SeJSnt0cSPICSjxv ,Attention,Charlie Puth,89,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12E-05,0.0848,0.777,100.041,211475,4,,,,,4iLqG9SeJSnt0cSPICSjx
14,1louJpMmzEicAn7lzDalPW ,No Promises (feat. Demi Lovato),Cheat Codes,81,0.741,0.667,10,-5.445,1,0.134,0.0575,0,0.106,0.595,112.956,223504,4,,,,,1louJpMmzEicAn7lzDalP
15,2Uvy6SkNqxvnH1W68dymxG ,Redbone,Childish Gambino,78,0.743,0.359,1,-10.401,1,0.0794,0.199,0.00611,0.137,0.587,160.083,326933,4,,,,,3kxfsdsCpFgN412fpnW85
16,22eADXu8DfOAUEDw4vU8qy ,Ahora Dice,Chris Jeday,78,0.708,0.693,6,-5.516,1,0.138,0.246,0,0.129,0.427,143.965,271080,4,,,,,22eADXu8DfOAUEDw4vU8q
17,5knuzwU65gJK7IF5yJsuaW ,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,85,0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,251088,4,,,,,5knuzwU65gJK7IF5yJsua
18,1x5sYLZiu9r5E43kMlt9f8 ,Symphony (feat. Zara Larsson),Clean Bandit,87,0.707,0.629,0,-4.581,0,0.0563,0.259,1.60E-05,0.138,0.457,122.863,212459,4,,,,,1x5sYLZiu9r5E43kMlt9f
19,3AEZUABDXNtecAOSC1qTfo ,ReggaetÃ³n Lento (Bailemos),CNCO,80,0.761,0.838,4,-3.073,0,0.0502,0.4,0,0.176,0.71,93.974,222560,4,,,,,3AEZUABDXNtecAOSC1qTf
20,6De0lHrwBfPfrhorm9q1Xl ,Me RehÃºso,Danny Ocean,89,0.744,0.804,1,-6.327,1,0.0677,0.0231,0,0.0494,0.426,104.823,205715,4,,,,,6De0lHrwBfPfrhorm9q1X
21,3A7qX2QjDlPnazUsRk5y0M ,2U (feat. Justin Bieber),David Guetta,81,0.548,0.65,8,-5.827,0,0.0591,0.219,0,0.225,0.557,144.937,194897,4,,,,,3A7qX2QjDlPnazUsRk5y0
22,3m660poUr1chesgkkjQM7P ,Sorry Not Sorry,Demi Lovato,84,0.704,0.633,11,-6.923,0,0.241,0.0214,0,0.29,0.863,144.021,203760,4,,,,,3m660poUr1chesgkkjQM7
23,3DXncPQOG4VBw3QHh3S817 ,I'm the One,DJ Khaled,83,0.609,0.668,7,-4.284,1,0.0367,0.0552,0,0.167,0.811,80.924,288600,4,,,,,3DXncPQOG4VBw3QHh3S81
24,1OAh8uOEOvTDqkKFsKksCi ,Wild Thoughts,DJ Khaled,83,0.671,0.672,0,-3.094,0,0.0688,0.0329,0,0.118,0.632,97.98,204173,4,,,,,1OAh8uOEOvTDqkKFsKksC
25,4pdPtRcBmOSQDlJ3Fk945m ,Let Me Love You,DJ Snake,81,0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02E-05,0.122,0.142,199.864,205947,4,,,,,4pdPtRcBmOSQDlJ3Fk945
26,5o2r7507gCOYdRMeR3noqZ ,Fake Love,Drake,78,0.927,0.488,9,-11.377,0,0.42,0.108,0,0.196,0.605,111.98,210937,4,,,,,343YBumqHu19cGoGARUTs
27,1xznGGDReH1oQq0xzbwXa3 ,One Dance,Drake,84,0.791,0.619,1,-9.433,1,0.0532,0.00784,0.00423,0.351,0.371,133.987,173987,4,,,,,1xznGGDReH1oQq0xzbwXa
28,7hDc8b7IXETo14hHIHdnhd ,Passionfruit,Drake,81,0.809,0.463,11,-5.886,1,0.0396,0.256,0.085,0.109,0.364,103.989,298941,4,,,,,7hDc8b7IXETo14hHIHdnh
29,2ekn2ttSfGqwhhate0LSR0 ,New Rules,Dua Lipa,93,0.771,0.696,9,-6.258,0,0.0755,0.00256,9.71E-06,0.179,0.656,116.054,208827,4,,,,,2ekn2ttSfGqwhhate0LSR
30,6PCUP3dWmTjcTtXY02oFdT ,Castle on the Hill,Ed Sheeran,83,0.461,0.834,2,-3.183,1,0.0989,0.0232,1.14E-05,0.14,0.471,95.977,261154,4,,,,,6PCUP3dWmTjcTtXY02oFd
31,0afhq8XCExXpqazXczTSve ,Galway Girl,Ed Sheeran,87,0.624,0.876,9,-4.868,1,0.1,0.0735,0,0.327,0.781,135.007,170827,4,,,,,0afhq8XCExXpqazXczTSv
32,0tgVpDi06FyKpA1z0VMD4v ,Perfect,Ed Sheeran,94,0.599,0.448,8,-3.374,1,0.0232,0.163,0,0.106,0.168,99.943,263400,3,,,,,0tgVpDi06FyKpA1z0VMD4
