#,id,name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,
1,54i1CQFlT3LeGdIVctDQp1,Money Convo,21 Savage,62,0.821,0.276,1,-10.556,1,0.123,0.0392,0.0233,0.11,0.0569,144.896,213427,4,
2,4CZRLZfFQrgsGp1idffY95,Call My Dad,AJR,45,0.619,0.206,2,-10.758,1,0.245,0.685,0,0.133,0.357,70.928,135693,5,
3,32VoLNDXBTeE786Qma2pv8,Stars,Alessia Cara,41,0.585,0.275,2,-7.991,1,0.0316,0.873,0,0.139,0.366,77.992,220213,4,
4,6e6Q8NQHv2xBhl5zU9DZFn,That's My Way - Alok Remix,Alok;Seu Jorge;Edi Rock,62,0.796,0.877,10,-5.856,0,0.0714,0.174,0.000405,0.106,0.812,121.996,295082,4,
5,5qpSSEUcG4199ZktDjbxV6,I Don't Care,Ariana Grande,57,0.581,0.408,5,-8.225,1,0.0479,0.737,3.54E-06,0.163,0.225,111.83,178027,4,
6,3y0Yoymz0y3tO7Jl0HuvkG,Dark River - Bonus Track,Axwell /\ Ingrosso; Sebastian Ingrosso,43,0.793,0.685,11,-5.927,0,0.0305,0.0252,0.00038,0.183,0.676,126.038,192400,4,
7,6FWYmupdLTk0ufhz6Zs2wc,Sunday Morning Jetpack,Big Sean;The-Dream,45,0.55,0.743,10,-8.03,0,0.126,0.715,0,0.348,0.617,84.45,225067,4,
8,6ObpR8ek44tvWefQRcSo8K,Calling All My Lovelies,Bruno Mars,71,0.662,0.705,1,-6.56,0,0.0399,0.0392,2.38E-06,0.105,0.865,159.996,250080,4,
9,5XMkENs3GfeRza8MfVAhjK,Finesse,Bruno Mars,77,0.741,0.798,5,-5.342,0,0.0718,0.00781,0,0.0232,0.939,104.953,191000,4,
10,6KdmNK9MogmGcnO3wNZHhp,Hard to Love,Calvin Harris;Jessie Reyez,64,0.753,0.785,2,-6.53,1,0.174,0.112,0.000191,0.0633,0.85,148.015,230587,4,
