id,name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popular,,,,,,,,
4VIob3ccsQs8jokhJ4aiUD,No Promises - Acoustic,Demi Lovato; Cheat Codes,0,0.561,0.389,10,-9.913,1,0.0308,0.713,0,0.108,0.365,111.988,232067,4,0,,,,,,,,
6gBFPUFcJLzWGx4lenP6h2 ,goosebumps,Travis Scott,88,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,243837,4,1,,,,,,,,
1bJlwtRVds707na4C02LAj,Nothings Into Somethings,Drake,60,0.766,0.234,11,-7.544,0,0.159,0.332,0.00156,0.358,0.256,96.882,153725,4,0,,,,,,,,
4pdPtRcBmOSQDlJ3Fk945m ,Let Me Love You,DJ Snake,81,0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02E-05,0.122,0.142,199.864,205947,4,1,,,,,,,,
6b8Be6ljOzmkOmFslEb23P ,24K Magic,Bruno Mars,83,0.818,0.803,1,-4.961,1,0.0797,0.034,0,0.153,0.632,134.066,225983,4,1,,,,,,,,
2Uvy6SkNqxvnH1W68dymxG ,Redbone,Childish Gambino,78,0.743,0.359,1,-10.401,1,0.0794,0.199,0.00611,0.137,0.587,160.083,326933,4,1,,,,,,,,
4xlrALxuaCf9yZBHJeTSG6 ,Mama,Jonas Blue,84,0.746,0.793,11,-4.209,0,0.0412,0.11,0,0.0528,0.557,104.027,181615,4,1,,,,,,,,
21TdkDRXuAB3k90ujRU1et ,Cold (feat. Future),Maroon 5,77,0.697,0.716,9,-6.166,0,0.113,0.118,0,0.0424,0.506,100.048,234308,4,1,,,,,,,,
08peGCGwTVXc1WT2UNdVs5,Your Song - Acoustic,Rita Ora,59,0.846,0.559,6,-4.306,1,0.0644,0.109,0,0.0445,0.721,114.037,181907,4,0,,,,,,,,
2uCWnDjkKeLJq5X2Otkj5f,Beautiful,Enrique Iglesias;Kylie Minogue,14,0.177,0.52,9,-4.896,1,0.0342,0.714,0,0.17,0.0421,182.002,205347,4,0,,,,,,,,
7qiZfU4dY1lWllzX7mPBI3 ,Shape of You,Ed Sheeran,91,0.825,0.652,1,-6.312,0,0.0802,0.581,0,0.0931,0.931,95.05,233713,4,1,,,,,,,,
7ujx3NYtwO2LkmKGz59mXp ,HUMBLE.,Kendrick Lamar,84,0.904,0.611,1,-6.763,0,0.0888,0.000259,2.03E-05,0.0976,0.4,139.931,177000,4,1,,,,,,,,
4Kln4sYiZzemzfdbLXW00G,House Work,Jax Jones;Mike Dunn;MNEK,66,0.766,0.948,0,-5.351,0,0.0634,0.205,0.144,0.0481,0.676,123.967,157208,4,0,,,,,,,,
6D0b04NJIKfEMg040WioJQ ,Issues,Julia Michaels,78,0.706,0.427,8,-6.864,1,0.0879,0.413,0,0.0609,0.42,113.804,176320,4,1,,,,,,,,
