Artist id,Artist name,Song name,Song id
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,Something Just Like This,6RUKPb4LETWmmr3iAEQktW
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,I'm the One,3DXncPQOG4VBw3QHh3S817
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,HUMBLE.,7ujx3NYtwO2LkmKGz59mXp
23fqKkggKUBHNkbKtXEls4,Kygo,It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe
6vXTefBL93Dj5IqAWq6OTv,French Montana,Unforgettable,3B54sVLJ402zGa6Xm4YGNe
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,I Don't Wanna Live Forever (Fifty Shades Darker) - From Fifty Shades Darker (Original Motion Picture Soundtrack),3NdDpSvN911VPGivFlV5d0
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,XO TOUR Llif3,7GX5flRQZVHRAGd6B4TmDO
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,Paris,72jbDTw1piOOj770jWNeaG
2qxJFvFYMEDqd7ui6kSAcq,Zedd,Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,Attention,4iLqG9SeJSnt0cSPICSjxv
1RyvyyTE3xzB2ZywiAwp0i,Future,Mask Off,0VgkVdmE4gld66l8iyGjgx
246dkjvS1zLTtiykXe5h60,Post Malone,Congratulations,6syOdAs4IK8kPWR7gDyjRw
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla Sign),6kex4EBAj0WHXDKZMEJaaF
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT
6MDME20pz9RveH9rEXvrOM,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,Believer,7Izh7zLJGw1Nscd62Exxj4
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,Mi Gente,1006C36HiCFxoeK3jI4jji
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,Thunder,26gceVsA1ybT8qsX3aYLEn
4IWBUUAFIplrNtaOHcJPRM,James Arthur,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu
5H1nN1SzW0qNeUEZvuXjAj,Danny Ocean,Me Rehuso,6De0lHrwBfPfrhorm9q1Xl
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,Issues,6D0b04NJIKfEMg040WioJQ
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Galway Girl,0afhq8XCExXpqazXczTSve
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,Closer,7BKLCZ1jbUBVqRi2FVlTVw
6MDME20pz9RveH9rEXvrOM,Clean Bandit,Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,I Feel It Coming,4RepvCWqsP6zBuzvwYibAS
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,Starboy,5aAx2yezTd8zXrkmtKl66Z
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,Wild Thoughts,1OAh8uOEOvTDqkKFsKksCi
7CajNmpbOovFoOoasH2HaY,Calvin Harris,Slide,7tr2za8SQg2CI8EDgrdtNl
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,New Rules,2ekn2ttSfGqwhhate0LSR0
4xRYI6VqpkE3UwrDrAZL8L,Logic,1-800-273-8255,5aFQU3VPCQ3YGfKBA4tLfj
3TVXtAsR1Inumwj472S9r4,Drake,Passionfruit,7hDc8b7IXETo14hHIHdnhd
246dkjvS1zLTtiykXe5h60,Post Malone,rockstar,2U7Hu2RaNQNRi7izoJyZaX
5pUo3fmmHT8bhCyHE52hA6,Liam Payne,Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v
02A3cEvlLLCbIMVDrK2GHV,Starley,Call On Me - Ryan Riback Extended Remix,51lsOIdizBjiI8z2YKjrA2
7CajNmpbOovFoOoasH2HaY,Calvin Harris,Feels,5bcTCxgc7xVfSaMV3RuVke
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,Mama,4xlrALxuaCf9yZBHJeTSG6
1r4hJ1h58CWwUQe3MxPuau,Maluma,Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn
4qBgvVog0wzW75IQ48mU7v,KYLE,iSpy (feat. Lil Yachty),2EEeOnHehOozLq4aS0n6SL
6LuN9FCkKOj5PcnpouEgny,Khalid,Location,152lZdxL1OR0ZMW6KquMif
0EmeFodog0BfCgMzAIvKQp,Shakira,Chantaje,6mICuAdrwEjh6Y6lroV2Kg
6oMuImdp5ZcFhWP0ESe6mG,Migos,Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,Havana,1rfofaqEpACxVEHIZBJe6W
4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,Solo Dance,6HUnnBwYZqcED1eQztxMBN
3TVXtAsR1Inumwj472S9r4,Drake,Fake Love,5o2r7507gCOYdRMeR3noqZ
540vIaP2JwjQb9dm3aArA4,DJ Snake,Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m
2XnBwblw31dfGnspMIwgWz,Axwell /\ Ingrosso,More Than You Know,71bBFbfn2OBK5QwUJSLS44
3TVXtAsR1Inumwj472S9r4,Drake,One Dance,1xznGGDReH1oQq0xzbwXa3
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,SUBEME LA RADIO,7nKBxz47S9SD79N086fuhn
0uGk2czvcpWQA383Im6ajf,Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,Sorry Not Sorry,3m660poUr1chesgkkjQM7P
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,Redbone,2Uvy6SkNqxvnH1W68dymxG
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,24K Magic,6b8Be6ljOzmkOmFslEb23P
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,DNA.,4cGeMgLcykDLAazHFpbZbU
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,El Amante,3umS4y3uQDkqekNjVpiRUs
4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,You Don't Know Me - Radio Edit,00lNx0OcTJrS3MKHcB80HY
6jJ0s89eD6GaHleKKya26X,Katy Perry,Chained To The Rhythm,6520aj0B4FSKGVuKNsOCOi
7DMveApC7UnC2NPfPvlHSU,Cheat Codes,No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW
04gDigrS5kc9YWfZHwBETP,Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),2QbFClFyhMMtiurUjuQlAe
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,How Far I'll Go - From Moana,077IVIW6uv1lL78x7a3Oc3
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,Slow Hands,38yBBH2jacvDxrznF7h08J
3E6xrwgnVfYCrCs0ePERDz,Wisin,Escapate Conmigo,1KSqYYJFyfTecXFk9M0prc
0c173mlxpT3dSFRgMO8XPh,Big Sean,Bounce Back,0PyWKgNmGiYTFe6MXN5U4K
6KImCVD70vtIoJWnq6nGn3,Harry Styles,Sign of the Times,5Ohxk2dO5COHF1krpoPigN
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,goosebumps,6gBFPUFcJLzWGx4lenP6h2
6LuN9FCkKOj5PcnpouEgny,Khalid,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,There for You,6jA8HL9i4QGzsj6fjoxp8Y
04gDigrS5kc9YWfZHwBETP,Maroon 5,Cold (feat. Future),21TdkDRXuAB3k90ujRU1et
64KEffDW9EtZ1y2vBYgq8T,Marshmello,Silence,7vGuf3Y35N4wmASOKLUVVU
2wY79sveU1sp5g7SokKOiI,Sam Smith,Too Good At Goodbyes,1mXVgsBdtIVeCLJnSnmtdV
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,Just Hold On,3EmmCZoqpWOTY1g2GBwJoR
06HL4z0CvFAxyc27GXpf02,Taylor Swift,Look What You Made Me Do,5troof8mcGO3AafoDbk1gc
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,Glorious (feat. Skylar Grey),0CokSRCu5hZgPxcZBaEzVE
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,Starving,2zDt2TfQbxiSPjTVJTgbwz
0eecdvMrqBftK0M1VKhaF4,CNCO,Reggaeton Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo
6s22t5Y3prQHyaHWUN1R1C,AJR,Weak,3BuLtAmXKy5uQYl4ED1zBT
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,Side To Side,4pLwZjInHj3SimIyN9SnOz
21451j1KhjAiaYKflxBjr1,Zion & Lennox,Otra Vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq
5JZ7CnR6gTvEMKX4g70Amv,Lauv,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,In the Name of Love,23L5CiUhw2jV1OIMwthR3S
738wLrAtLtCtFOLvQBXOXp,Major Lazer,Cold Water (feat. Justin Bieber & Mo),6Bjtr3tPdto5nyuLYf61sN
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,Malibu,1UZOjK1BwmwWU14Erba9CZ
7gAppWoH7pcYmphCVTXkzs,The Vamps,All Night,4b4KcovePX8Ke2cLIQTLM0
0NGAZxHanS9e0iNHpR8f2W,Alok,Hear Me Now,39cmB3ZoTOLwOTq7tMNqKa
5CCwRZC6euC8Odo6y9X8jr,Rita Ora,Your Song,4c2W3VKsOFoIg2SFaO6DY5
0qTZZWLzuD59Un5r1speHm,Chris Jeday,Ahora Dice,22eADXu8DfOAUEDw4vU8qy
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Friends (with BloodPop),7nZmah2llfvLDiUjm0kiyz
1URnnhqYAYcrqrcwql10ft,21 Savage,Bank Account,2fQrGHiQOvpL9UgPvtYy6G
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,Bad Things (with Camila Cabello),6TXglvsCOo7dQrEgRiIdO0
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,Body Like A Back Road,1W0z9ZFfzkpvAQ23Sd7Cti
26VFTg2z8YR0cCuwLzESi2,Halsey,Now Or Never,0Nhu3zSYbEz32IYiobV75e
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv
